,0,1,2,3,4,5
1085,2020-03-09 04:45:00,125.204,125.204,122.612,123.0,131025
1084,2020-03-09 05:00:00,123.0,124.8,123.0,124.6,206045
1083,2020-03-09 05:15:00,125.2,125.3,123.62,125.0,82010
1082,2020-03-09 05:30:00,125.0,126.274,124.6,126.152,56845
1081,2020-03-09 05:45:00,125.7,126.5,125.434,126.5,19115
1080,2020-03-09 06:00:00,126.524,126.7,125.83,126.21,34030
1079,2020-03-09 06:15:00,126.064,126.35,125.242,126.35,72450
1078,2020-03-09 06:30:00,126.062,126.062,125.27,125.6,34730
1077,2020-03-09 06:45:00,125.442,126.2,125.442,126.2,9450
1076,2020-03-09 07:00:00,125.8,125.8,124.39,124.4,58490
1075,2020-03-09 07:15:00,124.4,125.798,123.642,123.998,311150
1074,2020-03-09 07:30:00,123.828,124.8,123.422,123.8,204655
1073,2020-03-09 07:45:00,123.722,123.796,122.8,123.242,278230
1072,2020-03-09 08:00:00,123.4,123.802,123.0,123.296,100625
1071,2020-03-09 08:15:00,123.288,126.0,120.9,121.4,540290
1070,2020-03-09 08:30:00,121.318,121.546,120.04,120.6,474910
1069,2020-03-09 08:45:00,120.624,121.222,120.176,121.096,287920
1068,2020-03-09 09:00:00,121.15,122.0,120.888,121.766,311380
1067,2020-03-09 09:15:00,121.918,121.93,120.664,120.664,313260
1066,2020-03-09 09:30:00,120.622,121.598,120.0,121.2,577550
1065,2020-03-09 09:45:00,121.078,125.0,121.0,123.79998,3636380
1064,2020-03-09 10:00:00,123.452,127.166,121.403,125.681,5749275
1063,2020-03-09 10:15:00,125.703,131.376,125.2,130.488,6353880
1062,2020-03-09 10:30:00,130.42,132.5996,127.406,127.83,4990020
1061,2020-03-09 10:45:00,127.72,129.6,127.0,127.04,4548320
1060,2020-03-09 11:00:00,127.02,127.93998,126.222,126.937,3270485
1059,2020-03-09 11:15:00,126.882,127.083,125.422,125.848,3212425
1058,2020-03-09 11:30:00,125.8,126.81994,125.192,125.88474,2976015
1057,2020-03-09 11:45:00,125.756,126.814,125.114,126.203,2515500
